Andrew Scott,
Richard Madden,"Scottish actor Richard Madden found international fame playing Robb Stark on ""Game of Thrones"" (HBO, 2011-19) but proved himself to have staying power far beyond the landmark series. Born in Renfrewshire, Scotland, he began acting on stage while attending the Royal Scottish Academy of Music and Drama. In his early teens, he made his screen debut playing one of the leads on the family comedy ""Barmy Aunt Boomerang"" (BBC, 1999-2000). He added a small role in the thriller ""Complicity"" (2000) soon after. Besides an appearance on the crime drama ""Taggart"" (STV/ITV, 1983-2010), he spent the next several years concentrating on studies and stage roles, including playing Romeo in a Globe Theatre production of ""Romeo and Juliet."" In his early-20s, he took a role alongside Alex Kingston in ""Hope Springs"" (BBC, 2009) and starred in the sitcom ""Sirens"" (Channel 4, 2011). He also played musician Kirk Brandon in the Boy George biopic ""Worried About the Boy"" (2010). His break would come when he joined the cast of ""Game of Thrones,"" the television adaptation of George R.R. Martin's fantasy novels that would become a cultural phenomenon. His Robb Stark, the eldest of the Stark children which included Sophie Turner's Sansa and Kit Harrington's Jon Snow. Like many of the show's characters, Madden's Robb eventually met a brutal end during the show's third season. While on ""GoT,"" he appeared with Eddie Redmayne and Clemence Posey in the World War I drama ""Birdsong"" (BBC, 2012). Post Stark, the actor starred with Alan Rickman and Rebecca Hall in the romance ""A Promise"" (2013) and headlined the miniseries ""Klondike"" (Discovery, 2014). He found himself a part of fairy tale lore playing the Prince opposite Lily James' feisty ""Cinderella"" (2015). Madden made fans swoon, as well, with his role as Oliver Mellors in ""Lady Chatterley's Lover"" (BBC, 2015). On stage, he returned to the role of Romeo in a West End production of the Shakespeare tragedy. On the big screen, he teamed with Idris Elba for ""The Take"" (2016). The actor played the lead during the first season of the historical drama ""Medici"" (Rai 1, 2016- ). After appearing with Gillian Jacobs and Vanessa Bayer in the comedy ""Ibiza"" (Netflix, 2018), he earned rave reviews for his performance as a police detective assigned to protect Keeley Hawes' politician in ""Bodyguard"" (BBC, 2018- ). The role would earn Madden a Golden Globe award. He returned to playing a true life music industry figure when he portrayed agent John Ried in the Elton John biography ""Rocketman"" (2019). The actor also had a supporting role in the Sam Mendes WWI drama ""1917"" (2019).  Madden stepped into the Marvel Cinematic Universe when he joined former ""Game of Thrones"" co-star Kit Harrington and Angelina Jolie for ""The Eternals"" (2020). The actor portrayed comic book hero Ikaris, a member of an ancient humanoid race with superpowers."
Claire Duburcq,
Elisabeth Moss,"Actress Elisabeth Moss wasted no time getting her career off the ground. Starting as a child actor, Moss graduated high school two years early. As a result of her unusually mature work ethic, Moss was rarely without a job. After working steadily in film and television for years, Moss landed her big break in 1999 when she was cast as Martin Sheen's daughter on ""The West Wing"" (NBC, 1999-2006). Moving from her supporting berth at the White House, Moss took on an even more high-profile role as 1960s-era secretary-turned-copywriter Peggy Olson on ""Mad Men"" (AMC, 2007-15), the critically acclaimed drama from ""The Sopranos"" (HBO, 1999-2007) writer-producer, Matthew Weiner. As that series continued, Peggy became one of its most important characters as a foil to and protégé of conflicted adman Don Draper (Jon Hamm), Even before ""Mad Men"" ended in 2015, Moss went on to strong work as the lead of Jane Campion's murder mystery ""Top of the Lake"" (Sundance 2013) and its sequel ""Top of the Lake: China Girl"" (Sundance 2017) before starring as Offred in the Emmy Award-winning drama ""The Handmaid's Tale"" (Hulu 2017- ). Poised and talented, Moss seemed ready for any acting challenge on the big or small screen."
Oliver Jackson-Cohen,"A London-born actor who managed to begin landing sizable roles in Hollywood films just a few short years after his screen career began, Oliver Jackson-Cohen first appeared on television in 2007 with a guest spot on ""The Time of Your Life,"" an English television series about a coma victim. A year later, Jackson-Cohen had a recurring role on the BBC historical drama ""Lark Rise to Candleford.""  By 2010, he had begun his film career, acting in the romantic comedy ""Going the Distance"" and the action thriller ""Faster."" In the former movie, the young actor portrayed a dashing bartender who threatened to halt the burgeoning romance developing between leads Justin Long and Drew Barrymore.  The latter film found Jackson-Cohen trading bullets with stars Dwayne Johnson and Billy Bob Thorton. The following year, Jackson-Cohen starred in the comedy web series ""Will & Kate: Before Happily Ever After,"" which satirized the affairs of the royal family.  Jackson-Cohen also continued adding to his string of supporting parts in major Hollywood films, acting in ""What's Your Number?,"" another romantic comedy. The film starred actress Anna Faris as a luckless woman attempting to reconnect with her ex-lovers, with Jackson-Cohen playing one of the main character's former beaus."
Aldis Hodge,"Writer, actor, painter, watch designer -- for Aldis Hodge the sky was the limit. After spending most of his childhood appearing in print ads and TV commercials, he began acting on Broadway in the Tony-winning revival of ""Showboat"" and on the big screen alongside brother Edwin in ""Die Hard: With a Vengeance"" (1995). They later shared several projects, including ""Big Momma's House"" (2000) and ""Boston Public"" (FOX, 2000-04), and in 2004 the ambitious Aldis branched out with a voiceover role in the popular video game ""Grand Theft Auto: San Andreas"" (Rockstar Games, 2004). After he portrayed an intimidating high school quarterback on ""Friday Night Lights"" (NBC/Audience Network, 2006-2011), the former design student and future watch mogul landed the role of gifted hacker Alec Hardison on TNT's ""Leverage"" (2008-2012) and appeared in the indie drama ""The East"" (2013) as well as commercial successes ""A Good Day To Die Hard"" (2013) and ""Straight Outta Compton"" (2015). Aldis Hodge wasn't just an actor -- he was a one-man creative empire. Born and raised in North Carolina, Aldis Hodge did what most kids with older siblings do; he tagged along. After accompanying his older brother Edwin to a commercial photo shoot one day, Aldis was picked for his own ad in a national magazine. The next few years saw the younger Hodge build his own successful career in print and TV ads. When he was nine he landed a role in the Broadway revival of ""Showboat,"" and next appeared alongside Edwin in the smash hit ""Die Hard: With a Vengeance."" He worked steadily on TV, showcasing his range in everything from ""Buffy the Vampire Slayer"" (The WB 1997-2001, UPN 2001-03) to ""Pacific Blue"" (USA Network, 1996-2000). While he acted (usually alongside Edwin) in projects such as ""Big Momma's House"" and the David E. Kelley drama ""Boston Public,"" Aldis pursued his writing and painting, and eventually enrolled at the Art Center College of Design in Pasadena, CA. After taking on a voiceover role in the cult video game ""Grand Theft Auto: San Andreas"" and a small part in ""The Ladykillers"" (2004), Hodge was cast in a recurring role on ""Girlfriends"" (UPN 2000-06, CW 2006-08). After leaving the show in 2006, Hodge took a dramatic turn with his character Ray ""Voodoo"" Tatum on ""Friday Night Lights."" He portrayed the Hurricane Katrina evacuee on half a dozen episodes of the critically-acclaimed but low-rated series, and found steady supporting work on ""Supernatural"" (The WB 2005-06, The CW 2006- ) until joining the cast of ""Leverage"" in 2008. His quick-witted performance as Alec Hardison, a geeky electronics expert, quickly made the sci-fi-loving whiz-kid a fan favorite character. After the series finale in 2012, Hodge was cast as an anarchist hacker in the political spy drama ""The East"" and reunited with Edwin in the financially successful but critically panned ""A Good Day to Die Hard"" (2013). Along with a recurring role in the historical series ""Turn: Washington's Spies"" (AMC 2014-17), Hodge appeared as MC Ren in the NWA biopic ""Straight Outta Compton"" (2015). Along with high-profile supporting roles in historical drama ""Hidden Figures"" (2016) and Tom Cruise action sequel ""Jack Reacher: Never Go Back"" (2016), Hodge co-starred on Civil War drama ""Underground"" (WGN America 2016-17) as one of the leaders of the Underground Railroad that smuggled escaped slaves to safety in the north prior to the Civil War."
Storm Reid,"Young actress Storm Reid vaulted from minor roles in features like ""12 Years a Slave"" (2013) to the lead opposite Oprah Winfrey and Reese Witherspoon in ""A Wrinkle in Time"" (2018). Born July 1, 2003 in Atlanta, Georgia, Reid made her screen debut at the age of three in a television commercial and soon began booking roles in short films and TV features before she had turned 10 years of age. Her first major film role was in Steve McQueen's powerful ""12 Years a Slave"" (2013) as Emily, a young girl sold into sexual bondage. The attention afforded to the drama led to guest appearances on television series, including ""NCIS: Los Angeles"" (CBS, 2009- ) and in independent features films like ""Sleight"" (2016). Reid's career breakout came that same year when she was announced to play Meg Murry, the heroine of ""A Wrinkle in Time,"" director Ava DuVernay's adaptation of the beloved Madeleine L'Engle fantasy for young readers."
Harriet Dyer,
Michael Dorman,
Ryan Eggold,"Charismatic actor Ryan Eggold first explored his love of acting while attending theater camp as a youngster. Though many other kids participated in the program purely for fun, for Eggold, the experience was formative. He would follow his interest in performance all the way to the University of Southern California, where he graduated with a degree from the theater arts program in 2006. At first honing his craft on stage, Eggold wowed audiences with a starring role in a production of Sidney Kingsley's Pulitzer Prize-winning ""Dead End"" at the Ahmanson Theater in Los Angeles. Before long, the young actor found himself landing his first on-screen role, a small part on an episode of the series ""Related"" (WB, 2005-06). Eggold was so nervous the night before he began shooting that he broke out into hives. Soon however, regular on-screen appearances became de rigueur for Eggold. He appeared on shows like ""Brothers & Sisters"" (ABC, 2006-2011) and ""Dirt"" (ABC, 2007-08) and even directed his own short film, ""Literally, Right Before Aaron"" (2011). During this time, Eggold was also singing, playing piano and guitar for the band Eleanor Avenue. In 2013, Eggold joined the cast of the acclaimed series ""The Blacklist"" (NBC, 2013-), starring alongside James Spader."
Sharon Van Etten,"Sharon Van Etten came along as a fresh new voice in the indie-folk genre who developed a strong following the old-fashioned way, through regularly releasing great albums and constantly touring. Van Etten was born on February 26, 1981 in Clinton, New Jersey, as the middle of five kids, with an older brother, a younger brother, and two sisters. The family had a big LP collection that Sharon would plunder and enjoy, and she also sang in choir, and played clarinet, violin and piano. Van Etten started taking singing more seriously in high school. She taught herself how to play guitar, and learned how to craft harmonies by singing in her school choir. Van Etten went to college at Middle Tennessee State University, studied recording, and dropped out, going to work at the Red Rose, a combination coffee shop, record store, and music venue in Nashville. She didn't perform for five years because her boyfriend didn't think she had any talent, but she finally left him and went back home to New Jersey. Finally settling in Brooklyn, Van Etten sold hand-designed CDs on her website, and learned the ropes of the music business working as a publicist at the indie label Ba Da Bing Records. Van Etten's music was discovered by Kyp Malone from the art rock band TV on the Radio, and his brother Colin started playing it on NPR's music podcast All Songs Considered. Her music also got a lot of play on freeform radio powerhouse WFMU by Jeffrey Davison, a DJ who later became a close friend and collaborator. Van Etten's first album, Because I Was in Love, came out on May 26, 2009. Her second album, the ironically titled Epic came out in 2010. Both albums were critically well-received but sold little. By contrast, her third album Tramp (2012), went to number 75 on the Billboard charts. The follow up, Are We There (2014) garnered the best reviews and strongest sales of her career to date, including a four-star review in Rolling Stone and a high 8.2 rating from the influential online review site Pitchfork."
Sidney Flanigan,
Talia Ryder,
Drew Seltzer,
Tom Holland,
Chris Pratt,"Though audiences the world over knew him for his roles in blockbusters like ""Jurassic World"" (2015) and ""Guardians of the Galaxy"" (2014), many of Chris Pratt's biggest fans discovered him in his role as Andy Dwyer on the beloved sitcom ""Parks and Recreation"" (NBC, 2009-2015). Born in Virginia, Minnesota in 1979 and raised in Lake Stevens, Washington, Pratt was active in high school wrestling. Though he exuded confidence and was known to proclaim that he would one day be rich and famous, his path to acting was circuitous. He enrolled briefly at community college and later lived for a time in his van in Maui, Hawaii. Though he participated in dinner theater, Pratt only later pursued a full time acting career upon moving to Los Angeles. He was working as a server at Bubba Gump Shrimp Company in 2000 when he happened to meet Rae Dawn Chong, who cast him in her directorial debut, the short film ""Cursed Part 3"" (2000). Two years later, Pratt was cast as Bright Abbott on the drama series ""Everwood"" (WB, 2002-06), a part he stuck with until the show wrapped in 2006. He next played the character Che for two years on the series ""The O.C."" (WB, 2003-07) before appearing in the comedy ""Take Me Home Tonight"" (2007). Pratt met actor Anna Faris during filming, and the two were married in 2009, the same year Pratt appeared in the acclaimed sports drama ""Moneyball"" (2009) and joined the cast of  ""Parks and Recreation."" Pratt continued with the show even as his fame in movies climbed. He appeared in Kathryn Bigelow's ""Zero Dark Thirty"" (2012) in 2012, and joined the Marvel universe in 2014 taking on the role of Peter ""Star Lord"" Quill in ""Guardians of the Galaxy"" (2014). Now a legitimate movie star, moved on to star in the latter-day sequel ""Jurassic World"" (2015) as dinosaur trainer Owen before appearing in the science fiction drama ""Passengers"" (2016) and Antoine Fuqua's remake of the Western ""The Magnificent Seven"" (2016). He reprised the role of Peter Quill for ""Guardians of the Galaxy Vol. 2"" (2017) and ""Avengers: Infinity War"" (2018), and then reprised the role of Owen for ""Jurassic World: Fallen Kingdom"" (2018). Pratt and Faris divorced in 2018, but Pratt soon began seeing Katherine Schwarzenegger. The pair married in 2019, the same year Pratt played Peter Quill once again in the smash hit ""Avengers: Endgame"" (2019)."
